ID,Date,Bench,DiaryNumber,CaseNumber,JudgementBy,URL
5f5762b162a4b235ed37d8ef,15-12-2017 ,,9321 / 2005,W.P.(C) No.-000243-000243 / 2005,HON'BLE MR. JUSTICE A.K. SIKRI,/supremecourt/2005/9321/9321_2005_Judgement_15-Dec-2017.pdf
5f5762b862a4b235ed37d8f0,25-08-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",9330 / 2016,C.A. No.-010923-010923 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2016/9330/9330_2016_Judgement_25-Aug-2017.pdf
5f5762bf62a4b235ed37d8f1,23-08-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",9358 / 2013,C.A. No.-010808-010808 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2013/9358/9358_2013_Judgement_23-Aug-2017.pdf
5f5762c562a4b235ed37d8f2,01-02-2017 ,"S.A. BOBDE,L. NAGESWARA RAO",9455 / 2012,C.A. No.-001327-001327 / 2017,,jonew/judgment/judis/44570.pdf
5f5762cc62a4b235ed37d8f3,08-11-2017 ,"HON'BLE MR. JUSTICE ARUN MISHRA, HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR",9457 / 2007,C.A. No.-002933-002933 / 2010,HON'BLE MR. JUSTICE ARUN MISHRA,/supremecourt/2007/9457/9457_2007_Judgement_08-Nov-2017.pdf
5f5762d362a4b235ed37d8f4,03-05-2017 ,"S.A. BOBDE,L. NAGESWARA RAO",9533 / 2017,Crl.A. No.-000885-000885 / 2017,,jonew/judgment/judis/44898.pdf
5f5762da62a4b235ed37d8f5,15-09-2017 ,"HON'BLE MR. JUSTICE ARUN MISHRA, HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR",9554 / 2006,C.A. No.-001699-001699 / 2007,HON'BLE MR. JUSTICE ARUN MISHRA,/supremecourt/2006/9554/9554_2006_Judgement_15-Sep-2017.pdf
5f5762e162a4b235ed37d8f6,08-09-2017 ,"HON'BLE MR. JUSTICE MADAN B. LOKUR, HON'BLE MR. JUSTICE DEEPAK GUPTA",9586 / 2006,C.A. No.-002062-002062 / 2009,HON'BLE MR. JUSTICE DEEPAK GUPTA,/supremecourt/2006/9586/9586_2006_Judgement_08-Sep-2017.pdf
5f5762e762a4b235ed37d8f7,31-01-2017 ,"DIPAK MISRA,R. BANUMATHI",9620 / 2016,Crl.A. No.-000119-000122 / 2017,,jonew/judgment/judis/44514.pdf
5f5762ee62a4b235ed37d8f8,28-11-2017 ,"HON'BLE MR. JUSTICE J. CHELAMESWAR, HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE",9646 / 2015,C.A. No.-019857-019858 / 2017,HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE,/supremecourt/2015/9646/9646_2015_Judgement_28-Nov-2017.pdf
